Designator,Mid X,Mid Y,Rotation,Layer
C201,170.25,-35.0,270.0,top
C202,155.0,-36.75,270.0,top
C203,156.75,-36.75,270.0,top
C204,177.25,-32.5,0.0,top
C205,158.75,-37.0,270.0,top
C206,172.1,-41.3,0.0,top
C207,169.8,-40.2,90.0,top
C208,164.0,-36.8,180.0,top
C301,174.516747,-42.641516,0.0,top
C302,176.723329,-35.455906,90.0,top
C303,178.25,-40.5,90.0,top
C304,149.0,-44.27,270.0,top
C305,176.25,-37.334314,90.0,top
C306,174.5,-43.75,0.0,top
C307,177.25,-40.834314,90.0,top
C308,194.25,-34.551149,90.0,top
C309,182.5,-46.396082,180.0,top
C310,193.25,-34.584314,90.0,top
C311,189.75,-46.5,270.0,top
C312,181.25,-32.5,90.0,top
C313,194.0,-36.084314,0.0,top
C314,178.25,-35.0,180.0,top
C315,190.75,-45.5,270.0,top
C316,218.25,-47.75,180.0,top
C317,218.25,-49.75,0.0,top
C318,216.25,-49.78,0.0,top
C319,216.23,-47.78,180.0,top
C320,149.0,-47.5,270.0,top
C321,195.75,-28.25,90.0,top
C322,197.2,-27.5,90.0,bottom
C323,181.6,-82.4,0.0,top
C324,214.75,-31.0,270.0,top
C401,182.196433,-53.81,0.0,bottom
C402,176.0,-51.0,90.0,top
C403,174.0,-51.5,90.0,top
C404,196.0,-54.4,0.0,top
C405,171.2,-54.2,0.0,top
C406,183.0,-48.4,0.0,top
C407,172.0,-51.5,90.0,top
C501,215.75,-96.0,180.0,top
C502,212.0,-106.75,90.0,top
C503,210.25,-106.75,90.0,top
C504,154.75,-106.75,90.0,top
C505,153.0,-106.75,90.0,top
C506,149.75,-97.0,0.0,top
D201,177.75,-39.25,180.0,bottom
D202,163.0,-43.0,180.0,top
D203,177.0,-41.75,180.0,bottom
D204,155.5,-82.5,0.0,top
D205,155.4,-80.4,180.0,top
D302,222.425,-40.75,180.0,top
D303,222.425,-38.5,180.0,top
D304,177.89536,-29.732028,270.0,top
D305,222.675,-33.0,180.0,top
D306,222.675,-30.75,180.0,top
D307,222.675,-28.5,180.0,top
D501,214.5,-92.775,180.0,top
D502,215.209182,-101.003733,315.0,top
D503,204.0,-108.46,90.0,top
D504,161.0,-108.46,270.0,top
D505,149.776975,-101.003733,45.0,top
D506,150.54,-92.775,180.0,top
D507,191.0,-117.0,270.0,top
D508,174.0,-117.0,90.0,top
D509,181.225,-110.5,90.0,top
FB301,175.0,-41.334314,0.0,top
IC302,205.5,-33.0,0.0,top
IC501,186.2,-94.6,270.0,top
J201,145.75,-39.5,90.0,top
J202,166.75,-28.75,180.0,top
J301,182.175,-29.775,90.0,top
J302,178.52,-84.8,90.0,top
J401,163.55,-56.25,90.0,top
J402,202.95,-56.5,270.0,top
J601,173.42,-75.5,90.0,top
J602,177.175,-80.0,90.0,top
JP201,169.75,-44.0,90.0,top
Q201,151.8,-36.4,180.0,top
Q501,161.0,-111.0,270.0,top
Q502,204.0,-111.0,90.0,top
Q503,216.994116,-102.638308,315.0,top
Q504,217.04,-92.775,180.0,top
Q505,147.995722,-102.638308,45.0,top
Q506,148.0,-92.775,180.0,top
R201,159.25,-32.51,270.0,top
R202,160.4,-32.5,270.0,top
R203,151.8,-39.2,0.0,top
R204,174.0,-32.5,0.0,top
R205,169.921489,-51.75,270.0,top
R206,169.0,-49.25,0.0,top
R207,152.0,-82.5,0.0,top
R208,152.0,-80.4,0.0,top
R301,211.5,-32.5,180.0,bottom
R302,219.175,-40.75,0.0,top
R303,178.0,-37.834314,180.0,top
R304,147.75,-44.25,270.0,top
R305,219.175,-38.5,0.0,top
R306,174.6,-27.2,0.0,top
R307,218.25,-48.75,180.0,top
R308,216.25,-48.78,180.0,top
R309,219.5,-33.0,0.0,top
R310,219.425,-30.75,0.0,top
R311,147.75,-47.5,270.0,top
R312,202.25,-39.4,180.0,bottom
R313,202.25,-42.0,180.0,bottom
R314,209.5,-40.25,270.0,bottom
R315,207.5,-40.25,270.0,bottom
R316,211.0,-40.25,270.0,bottom
R317,212.75,-40.25,270.0,bottom
R318,219.425,-28.5,0.0,top
R319,197.25,-31.175,270.0,bottom
R401,182.2,-52.732316,180.0,bottom
R501,155.25,-110.0,270.0,top
R502,219.25,-96.0,180.0,top
R503,209.75,-110.0,270.0,top
R504,213.5,-110.25,90.0,top
R505,215.25,-110.0,90.0,top
R506,211.5,-110.25,90.0,top
R507,216.5,-87.5,0.0,top
R508,153.5,-110.0,90.0,top
R509,149.75,-110.0,270.0,top
R510,151.5,-110.0,90.0,top
R511,149.0,-87.5,180.0,top
R512,146.25,-97.0,0.0,top
R513,185.0,-117.0,180.0,top
R514,180.0,-117.0,0.0,top
R515,187.0,-111.0,270.0,top
SW201,148.25,-28.0,180.0,top
SW301,151.75,-43.75,0.0,top
SW302,159.25,-29.5,180.0,top
SW303,219.0,-38.0,180.0,bottom
SW304,218.975,-30.75,0.0,bottom
SW305,151.35,-48.2,0.0,top
SW306,204.6,-30.0,180.0,bottom
U201,174.5,-29.75,0.0,top
U202,164.6,-38.5,0.0,bottom
U301,186.0,-38.834314,0.0,top
U401,183.25,-54.25,90.0,top
Y301,173.75,-36.334314,270.0,top
